일자,DAU 전체(회원),신규 DAU 전체(회원),재방문자 수(일) 전체(회원),MAU 전체(회원),신규 MAU 전체(회원),PV,신규 DAU PV,재방문자 수(월),재방문율(월)
2026-01-18,158.0,93.0,65.0,9248.0,8689.0,556.0,196.0,1717.0,18.56
2026-01-17,238.0,159.0,79.0,9389.0,8837.0,733.0,323.0,1737.0,18.5
2026-01-16,273.0,172.0,101.0,9594.0,9038.0,1024.0,518.0,1750.0,18.24
2026-01-15,404.0,262.0,142.0,9618.0,9057.0,1229.0,690.0,1738.0,18.07
2026-01-14,295.0,178.0,117.0,9481.0,8917.0,1256.0,754.0,1704.0,17.97
2026-01-13,280.0,202.0,78.0,9420.0,8856.0,1155.0,786.0,1676.0,17.79
2026-01-12,203.0,122.0,81.0,9343.0,8758.0,784.0,406.0,1672.0,17.89
2026-01-11,246.0,175.0,71.0,9373.0,8784.0,637.0,326.0,1674.0,17.85
2026-01-10,171.0,123.0,48.0,9366.0,8780.0,458.0,234.0,1683.0,17.96
2026-01-09,261.0,171.0,90.0,9383.0,8786.0,844.0,443.0,1698.0,18.09
2026-01-08,419.0,312.0,107.0,9397.0,8790.0,1400.0,908.0,1696.0,18.04
2026-01-07,467.0,350.0,117.0,9308.0,8673.0,1548.0,954.0,1693.0,18.18
2026-01-06,567.0,447.0,120.0,9183.0,8527.0,1629.0,1002.0,1680.0,18.29
2026-01-05,475.0,330.0,145.0,9030.0,8347.0,1473.0,785.0,1700.0,18.82
2026-01-04,522.0,338.0,184.0,8942.0,8234.0,1539.0,845.0,1686.0,18.85
2026-01-03,326.0,201.0,125.0,8826.0,8101.0,1173.0,561.0,1639.0,18.57
2026-01-02,320.0,171.0,149.0,8891.0,8164.0,1179.0,540.0,1642.0,18.46
2026-01-01,374.0,235.0,139.0,9064.0,8327.0,1074.0,577.0,1661.0,18.32
2025-12-31,400.0,259.0,141.0,9145.0,8400.0,1134.0,645.0,1662.0,18.17
2025-12-30,490.0,301.0,189.0,9188.0,8425.0,1448.0,722.0,1649.0,17.94
2025-12-29,606.0,372.0,234.0,9170.0,8405.0,2012.0,1059.0,1643.0,17.91
2025-12-28,404.0,284.0,120.0,9051.0,8276.0,1080.0,653.0,1628.0,17.98
2025-12-27,395.0,242.0,153.0,8904.0,8137.0,1081.0,514.0,1623.0,18.22
2025-12-26,555.0,352.0,203.0,8957.0,8200.0,1619.0,848.0,1600.0,17.86
2025-12-25,397.0,258.0,139.0,8978.0,8247.0,1130.0,688.0,1569.0,17.47
2025-12-24,425.0,238.0,187.0,8914.0,8182.0,1205.0,579.0,1538.0,17.25
2025-12-23,409.0,240.0,169.0,8843.0,8109.0,1238.0,636.0,1481.0,16.74
2025-12-22,501.0,296.0,205.0,8729.0,8002.0,1370.0,671.0,1423.0,16.3
2025-12-21,1246.0,1121.0,125.0,8618.0,7874.0,3082.0,2630.0,1316.0,15.27
2025-12-20,355.0,253.0,102.0,7751.0,6985.0,936.0,572.0,1298.0,16.74
2025-12-19,592.0,432.0,160.0,7735.0,6933.0,1631.0,1006.0,1297.0,16.76
2025-12-18,351.0,241.0,110.0,7564.0,6751.0,1077.0,514.0,1290.0,17.05
