No,페이지제목,페이지URL,조회수,조회율
1,엠에프팜 | 킹댕즈,/Goods/Detail/SMF28555734,5734,15.07
2,엠에프팜 | 주문/결제,/Order/DirectOrder,4324,11.36
3,엠에프팜 | 결제완료,/Order/OrderEnd,2330,6.12
4,엠에프팜,/Mypage/Guest_Info_Form,2267,5.95
5,엠에프팜 | 주문목록 / 배송조회,/Mypage/My_Order,2144,5.63
6,엠에프팜,/,1624,4.26
7,엠에프팜 | 든든곳간,/Goods/Detail/SMF13606317,537,1.41
8,엠에프팜 | 농산물,/Goods/List,419,1.1
9,엠에프팜 | 든든곳간,/Goods/Detail/SMF79565974,363,0.95
10,엠에프팜 | 주문상세,/Mypage/My_Order_Detail,351,0.92
11,엠에프팜 | 주문완료,/Order/OrderEnd,345,0.9
12,엠에프팜 | 해아림농장,/Goods/Detail/SMF14158451,342,0.89
13,엠에프팜 | 제주귤냥냥,/Goods/Detail/SMF14158451,301,0.79
14,엠에프팜 | 01030040315,/Goods/Detail/SMF14158451,282,0.74
15,엠에프팜 | 건강365일,/Goods/Detail/SMF14158451,249,0.65
16,엠에프팜 | 전체보기,/Goods/List,244,0.64
17,엠에프팜 | 건강365일,/Goods/Detail/SMF78619818,234,0.61
18,엠에프팜 | 제주농장,/Goods/Detail/SMF34633170,230,0.6
19,엠에프팜 | Jejufarmers,/Goods/Detail/SMF14158451,203,0.53
20,엠에프팜 | 든든곳간,/Goods/Detail/SMF14158451,184,0.48
21,엠에프팜 | 든든곳간,/Goods/Detail/SMF34633170,182,0.47
22,엠에프팜 | 아론,/Goods/Detail/SMF14158451,179,0.47
23,엠에프팜 | 윤현후맘,/Goods/Detail/SMF14158451,169,0.44
24,엠에프팜 | 아론,/Goods/Detail/SMF78619818,150,0.39
25,엠에프팜,/Mypage/LoginSelect,149,0.39
26,엠에프팜 | 킹댕즈,/goods/detail/SMF28555734,135,0.35
27,엠에프팜 | 해피드림팜,/Goods/Detail/SMF14158451,134,0.35
28,엠에프팜 | 제주농장,/Goods/Detail/SMF78619818,127,0.33
29,엠에프팜 | 건강365일,/Goods/Detail/SMF34633170,124,0.32
30,엠에프팜 | 윤현후맘,/Goods/Detail/SMF34633170,124,0.32
31,엠에프팜 | 베스트상품,/Goods/List,114,0.29
32,엠에프팜 | 해아림농장,/Goods/Detail/SMF79565974,113,0.29
33,엠에프팜 | 제주농장,/Goods/Detail/SMF14158451,110,0.28
34,엠에프팜 | 인디자인25,/Goods/Detail/SMF34633170,105,0.27
35,엠에프팜 | 달달꼬니네,/Goods/Detail/SMF34633170,101,0.26
36,엠에프팜 | 해아림농장,/Goods/Detail/SMF34633170,98,0.25
37,엠에프팜 | mfff,/Goods/Detail/SMF14158451,96,0.25
38,엠에프팜 | 귤향가득,/Goods/Detail/SMF14158451,94,0.24
39,엠에프팜 | 방울이네,/Goods/Detail/SMF34633170,90,0.23
40,엠에프팜 | 제주농장,/Goods/Detail/SMF26601701,87,0.22
41,엠에프팜 | 제주탐라마켓,/Goods/Detail/SMF14158451,87,0.22
42,엠에프팜 | 다팜,/Goods/Detail/SMF14158451,83,0.21
43,엠에프팜 | 제주농장,/Goods/Detail/SMF13606317,82,0.21
44,엠에프팜 | 01030040315,/Goods/Detail/SMF78619818,80,0.21
45,엠에프팜 | 마이페이지,/Mypage/Mobile_My_Index,80,0.21
46,엠에프팜 | 걍쮸,/Goods/Detail/SMF14158451,75,0.19
47,엠에프팜 | 쮸니농장,/Goods/Detail/SMF14158451,73,0.19
48,엠에프팜 | 해아림농장,/Goods/Detail/SMF13606317,72,0.18
49,엠에프팜 | 영찬 팜유,/Goods/Detail/SMF34633170,69,0.18
