상품명_정제,상품코드,날짜,조회수,클릭수,클릭률
[1+1이벤트]초고당도 타이벡 감귤,SMF14158451,2025-12-20,119.0,5.0,4.2
[킹댕즈 보장!]초고당도 타이벡 감귤 2025년 첫수확,SMF28555734,2025-12-20,134.0,15.0,11.19
실속만점 가정용 하우스 한라봉&레드향,SMF34633170,2025-12-20,110.0,3.0,2.73
과즙폭발 겨울의 꽃 조생 감귤,SMF78619818,2025-12-20,130.0,11.0,8.46
제주산 구좌 흙당근 비세척,SMF13606317,2025-12-20,44.0,1.0,2.27
"해남 꿀고구마, 베니하루카 품종 포슬포슬",SMF79565974,2025-12-20,0.0,0.0,0.0
엄선된 프리미엄 과일 선물세트,SMF26601701,2025-12-20,61.0,0.0,0.0
하우스 한라봉 깜짝 이벤트! 덤 500g 추가 증정!,SMF35431331,2025-12-20,0.0,0.0,0.0
논산 설향딸기 달콤함 가득 겨울과일,SMF37504939,2025-12-20,46.0,2.0,4.35
♥1년 중 20일만 맛 볼 수 있는 고당도 노지 황금향♥,SMF13166336,2025-12-20,27.0,0.0,0.0
겨울 한정 초고당도 타이벡 감귤,SMF43939661,2025-12-20,0.0,0.0,0.0
제주 농장 산지직송 노지 한라봉 가정용 5kg 10kg,SMF56651816,2025-12-20,0.0,0.0,0.0
"2025 첫수확 노지감귤 가정용 3kg, 5kg",SMF87846210,2025-12-20,2.0,0.0,0.0
제주 산지직송 황금향 선물세트 가정용,SMF29718566,2025-12-20,1.0,0.0,0.0
과즙폭발 꿀당도 보장 감귤 [유라실생],SMF28240458,2025-12-20,1.0,0.0,0.0
"해남 꿀밤고구마, 베니하루카 품종 포슬포슬",SMF88753441,2025-12-20,1.0,0.0,0.0
초고당도 타이벡감귤 2025년 첫 수확,SMF24484057,2025-12-20,5.0,0.0,0.0
초고당도 타이벡감귤 2025년 첫 수확,SMF87201852,2025-12-20,0.0,0.0,0.0
과즙폭발 꿀당도 보장 고당도 감귤 2kg + 황금향 2kg,SMF97813435,2025-12-20,2.0,0.0,0.0
제주 산지직송 카라향 가정용 3kg 5kg(소중대혼합),SMF60935750,2025-12-20,0.0,0.0,0.0
제주 특산 초고당도 타이벡 감귤,SMF21632923,2025-12-20,0.0,0.0,0.0
제주 농장 산지직송 한라봉 가정용 선물용 3kg 5kg,SMF55565905,2025-12-20,0.0,0.0,0.0
제주 농장 산지직송 레드향 가정용 선물용 3kg 5kg,SMF96597185,2025-12-20,0.0,0.0,0.0
제주 농장 산지직송 천혜향 가정용 선물용 3kg 5kg,SMF25339174,2025-12-20,0.0,0.0,0.0
제주 산지직송 노지 한라봉+레드향 가정용 3kg 5kg 10kg (소중대혼합),SMF71771951,2025-12-20,1.0,0.0,0.0
"★특가상품★ 제주도 산지직송 노지 황금향 4KG, 10KG",SMF44782434,2025-12-20,0.0,0.0,0.0
"자연그대로의 감귤 3kg, 5kg, 10kg",SMF10721403,2025-12-20,0.0,0.0,0.0
과즙폭발 겨울의 꽃 조생 감귤,SMF95760083,2025-12-20,0.0,0.0,0.0
제주 구좌 제철 당근 흙 가정용 주스용 선물용 중 상 특 3kg 5kg,SMF32871758,2025-12-20,0.0,0.0,0.0
제주 특품 한라봉 대과 선물세트 5kg,SMF20680079,2025-12-20,0.0,0.0,0.0
청정지역 제주 흑돼지 백돼지 삼겹살 목살 구이용 수육용 500g,SMF24700671,2025-12-20,0.0,0.0,0.0
초고당도 타이벡감귤 2025년 첫 수확,SMF36412041,2025-12-20,0.0,0.0,0.0
제주 농장 산지직송 노지 한라봉 가정용 5kg 10kg,SMF52998967,2025-12-20,1.0,0.0,0.0
해남 꿀 고구마 3kg 5kg 한입 중 특상,SMF69325946,2025-12-20,1.0,0.0,0.0
"초고당도 타이벡 감귤 5kg, 10kg",SMF28726265,2025-12-20,0.0,0.0,0.0
제주 산지직송 못난이 천혜향 가정용 5kg 10kg (소중대혼합),SMF24956818,2025-12-20,1.0,0.0,0.0
"제주 산지직송 하우스감귤 2kg, 4kg, 4.5kg 소과 로얄과 중대과",SMF82923688,2025-12-20,0.0,0.0,0.0
초고당도 감귤 신품종[유라실생] 4.5kg(실중량4kg),SMF35967612,2025-12-20,1.0,0.0,0.0
제주 농장 산지직송 레드향 / 한라봉 / 천혜향 가정용 2.5kg 4.5kg,SMF97567421,2025-12-20,0.0,0.0,0.0
